hex,type,r,t,dbFlags,desc,alt_baro,alt_geom,gs,track,squawk,lat,lon,nic,rc,seen_pos,nac_p,nac_v,sil,sil_type,alert,spi,mlat,tisb,messages,seen,rssi
ae04f1,adsb_icao,84-00161,BE20,1,BEECH 200 Super King Air,22200,22700,300.5,119.72,5607,36.213963,-81.205737,10,25,0.249,10,1,3,perhour,0,0,[],[],13171029,0.0,-24.6
c2b553,adsb_icao,130605,C30J,1,Lockheed Martin CC-130J-30 Hercules,26000,25675,316.1,305.6,0605,45.526925,-79.847963,10,25,0.622,10,2,3,perhour,0,0,[],[],35561679,0.1,-7.4
adfe51,adsb_icao,94-00322,BE20,1,Beech C-12V Huron,3925,4100,242.9,329.85,0021,25.901013,-79.635931,8,186,0.809,10,1,3,perhour,0,0,[],[],23465087,0.8,-23.0
aea0f9,adsb_icao,22-03477,H64,1,MCDONNELL DOUGLAS AH-64 Apache,1500,1400,136.4,36.95,1200,35.319122,-79.131832,9,75,0.048,9,4,3,perhour,0,0,[],[],94099,0.0,-19.5
ae74c2,adsb_icao,21-03423,H64,1,Boeing AH-64E Apache,1200,1125,94.4,155.61,0400,35.838333,-78.775011,9,75,0.153,9,4,3,perhour,0,0,[],[],557751,0.0,-10.9
ae6355,adsb_icao,22-72477,EC45,1,AIRBUS HELICOPTERS EC-145,925,800,69.9,109.21,0400,35.867661,-78.767122,9,75,0.339,10,2,3,perhour,0,0,[],[],1455768,0.0,-6.1
ae634b,adsb_icao,21-72467,EC45,1,AIRBUS HELICOPTERS EC-145,2550,2475,136.1,349.85,1200,35.356145,-78.678589,9,75,0.008,10,2,3,perhour,0,0,[],[],1613183,0.0,-5.7
ae010e,mlat,97-0401,GLF5,1,Gulfstream Aerospace C-37A,40000,0,411.0,195.0,6202,34.953859,-77.589493,0,0,6.766,0,0,0,0,0,0,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",[],15678957,0.8,-18.1
adfeda,adsb_icao,86-00084,BE20,1,Beech C-12U Huron,5100,4925,236.1,181.46,7372,38.570938,-77.585807,8,186,0.996,10,1,3,perhour,0,0,[],['geom_rate'],12164574,0.7,-18.6
ae5320,adsb_icao,12-08887,H47,1,BOEING-VERTOL CH-47 Chinook,1575,1375,136.9,68.12,2451,39.54715,-76.092712,8,186,0.015,10,4,3,perhour,0,0,[],[],152465,0.0,-10.1
ae07e8,mlat,95-0105,C17,1,McDonnell Douglas C-17A Globemaster III,31000,0,482.0,89.0,4113,42.758073,-75.176877,0,0,1.097,0,0,0,0,0,0,"['callsign', 'gs', 'track', 'baro_rate', 'squawk', 'lat', 'lon', 'nic', 'rc']",[],4274023,0.1,-24.3
ae20c4,adsb_icao,07-7183,C17,1,Boeing C-17A Globemaster III,29000,30800,488.7,141.23,0713,20.527634,-73.543903,10,25,0.69,10,2,3,perhour,0,0,[],[],3410888,0.0,-13.9
ae77d4,adsb_icao,23-21263,H60,1,SIKORSKY UH-60 Black Hawk,2475,2150,149.3,82.3,0,42.296618,-71.724115,8,186,1.69,10,4,3,perhour,0,0,[],[],1349031,0.4,-22.8
